"registro_id";"data";"empresa";"cnpj_empresa";"empreendimento";"uf_empreendimento";"categoria_documento";"fornecedor";"razao_social_fornecedor";"cnpj_fornecedor";"numero_orcamento";"item_documento";"codigo_fornecedor";"descricao";"unidade_documento";"quantidade";"preco_unitario_cotado";"valor_total_linha";"desconto_pct_documento";"diferenca_total_menos_qtd_unitario";"natureza_preco";"unidade_pendente";"tipo_documento";"pagina";"arquivo_id";"arquivo_nome";"fonte_url";"arquivo_codigo"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:2";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"2";"821";"ADESIVO SELANTE PU40 - CINZA - ELASTIL ELASTIL";"ctc";"1";"19,9";"19,9";"0";"0";"unitario_cotado";"false";"orcamento";"1";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:3";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"3";"00570";"ASSENTO DURIN ALMOFADADO - BRANCO BELLART DURIN";"pc";"2";"109,9";"219,8";"0";"0";"unitario_cotado";"false";"orcamento";"1";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:4";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"4";"UN";"COLA - ADESIVO INSTANTANEO - TEKBOND 100G TIPO CIANO TEK BOND";"pç";"1";"35,5";"35,5";"0";"0";"unitario_cotado";"false";"orcamento";"1";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:5";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"5";"7530115";"DUCHA LORENZETTI - MAXIDUCHA 220V 5500W LORENZETTI";"pc";"2";"97,7";"195,4";"0";"0";"unitario_cotado";"false";"orcamento";"1";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:6";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"6";"000000000110006798";"FERRO 5/16 - 8MM CA50 VOTORACO";"br";"1";"32,8";"32,8";"0";"0";"unitario_cotado";"false";"orcamento";"1";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:7";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"7";"1014105015";"FITA ANTIDERRAPANTE - ROLO 15M - VONDER Diversos";"pc";"3";"59,6";"178,8";"0";"0";"unitario_cotado";"false";"orcamento";"1";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:8";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"8";"KG";"PREGO 15X21 1KG Diversos";"pç";"1";"19,9";"19,9";"0";"0";"unitario_cotado";"false";"orcamento";"1";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:9";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"9";"7589005";"RESISTENCIA LORENZETTI 055-A 220V LORENZETTI";"pc";"2";"33";"66";"0";"0";"unitario_cotado";"false";"orcamento";"2";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:10";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"10";"10049";"TORNEIRA JARDIM MARCHEZAN 3/4 1130 AMARELA MARCHEZAN";"un";"1";"47,5";"47,5";"0";"0";"unitario_cotado";"false";"orcamento";"2";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:11";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"11";"10000321";"TUBO PVC 32MM SOLDAVEL KRONA";"M";"6";"12,48";"74,88";"0";"0";"unitario_cotado";"false";"orcamento";"2";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
